assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCF_002593865.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2790336	2734085	Synechococcus phage ACG-2014f_Syn7803C8	na	Syn7803C8	latest	Complete Genome	Major	Full	2020/05/15	ASM259386v1		GCA_002593865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/865/GCF_002593865.1_ASM259386v1
GCF_002593825.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2790345	2734086	Synechococcus phage ACG-2014f_Syn7803C7	na	Syn7803C7	latest	Complete Genome	Major	Full	2020/05/15	ASM259382v1		GCA_002593825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/825/GCF_002593825.1_ASM259382v1
GCF_002596125.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2790347	2734098	Cyanophage S-RIM12 isolate RW_01_0310	na	RW_01_0310	latest	Complete Genome	Major	Full	2020/05/15	ASM259612v1		GCA_002596125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/596/125/GCF_002596125.1_ASM259612v1
GCF_002596185.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2790659	2734099	Cyanophage S-RIM12 isolate RW_06_0310	na	RW_06_0310	latest	Complete Genome	Major	Full	2020/05/15	ASM259618v1		GCA_002596185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/596/185/GCF_002596185.1_ASM259618v1
GCF_002596385.1	PRJNA485481	na	na	na	na	na	2790660	2734100	Cyanophage S-RIM12 isolate W1_08_0910	na	W1_08_0910	latest	Complete Genome	Major	Full	2020/05/15	ASM259638v1		GCA_002596385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/596/385/GCF_002596385.1_ASM259638v1
GCF_021355455.1	PRJNA485481	na	na	na	na	na	2801354	2801354	Yersinia phage PYps16N	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2135545v1		GCA_021355455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/355/455/GCF_021355455.1_ASM2135545v1
GCF_021355465.1	PRJNA485481	na	na	na	na	na	2801356	2801356	Yersinia phage PYps23T	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2135546v1		GCA_021355465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/355/465/GCF_021355465.1_ASM2135546v1
GCF_021355475.1	PRJNA485481	na	na	na	na	na	2801357	2801357	Yersinia phage PYps3T	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2135547v1		GCA_021355475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/355/475/GCF_021355475.1_ASM2135547v1
GCF_016811475.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2801837	2955843	Klebsiella phage vB_KpP_FBKp27	na	na	latest	Complete Genome	Major	Full	2022/11/30	ASM1681147v1		GCA_016811475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/811/475/GCF_016811475.1_ASM1681147v1
GCF_016811625.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2801898	2956120	Streptomyces phage Werner	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1681162v1		GCA_016811625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/811/625/GCF_016811625.1_ASM1681162v1
GCF_017347815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2806547	2955844	Klebsiella phage vB_KpnP_P184	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM1734781v1		GCA_017347815.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/347/815/GCF_017347815.1_ASM1734781v1
GCF_017347905.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2812854	2956556	Salmonella phage vB_SalP_TR2	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM1734790v1		GCA_017347905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/347/905/GCF_017347905.1_ASM1734790v1
GCF_020492155.1	PRJNA485481	na	na	na	na	na	2822848	2822848	Pseudomonas phage vB_PaeS_PAJD-1	na	na	latest	Complete Genome	Major	Full	2023/03/26	ASM2049215v1		GCA_020492155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/492/155/GCF_020492155.1_ASM2049215v1
GCF_000841465.2	PRJNA485481	na	na	na	na	ICTV species exemplar	2847106	222645	Halophage HF1	na	na	latest	Complete Genome	Major	Full	2020/01/21	ViralProj14294		GCA_000841465.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/841/465/GCF_000841465.2_ViralProj14294
GCF_000908635.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2847107	2955975	Halorubrum tailed phage 5	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206492		GCA_000908635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/635/GCF_000908635.1_ViralProj206492
GCF_000909235.1	PRJNA485481	na	na	na	na	na	2847108	2847108	Halorubrum tailed phage 7	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206491		GCA_000909235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/909/235/GCF_000909235.1_ViralProj206491
GCF_000907615.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2847109	2955976	Halorubrum tailed phage 8	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206490		GCA_000907615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/615/GCF_000907615.1_ViralProj206490
GCF_003843605.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2847822	2845497	Lentibacter phage vB_LenP_ICBM1	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM384360v1		GCA_003843605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/843/605/GCF_003843605.1_ASM384360v1
GCF_003843585.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2847823	2845498	Lentibacter phage vB_LenP_ICBM2	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM384358v1		GCA_003843585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/843/585/GCF_003843585.1_ASM384358v1
GCF_018987205.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2848886	3060829	Streptomyces phage KimJongPhill	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1898720v1		GCA_018987205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/987/205/GCF_018987205.1_ASM1898720v1
GCF_018987215.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2848887	2848887	Streptomyces phage TunaTartare	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1898721v1		GCA_018987215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/987/215/GCF_018987215.1_ASM1898721v1
GCF_005568555.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2849598	2734092	Rheinheimera phage Barba21A	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM556855v1		GCA_005568555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/568/555/GCF_005568555.1_ASM556855v1
GCF_019095815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2849626	2849626	Escherichia phage vB_EcoP_SU7	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1909581v1		GCA_019095815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/095/815/GCF_019095815.1_ASM1909581v1
GCF_019466445.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2860374	2860374	Escherichia phage IME267	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1946644v1		GCA_019466445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/466/445/GCF_019466445.1_ASM1946644v1
GCF_021029385.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2863195	2863195	Kosakonia phage Kc283	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2102938v1		GCA_021029385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/029/385/GCF_021029385.1_ASM2102938v1
GCF_020868945.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2865794	2865794	Escherichia phage vB_EcoP-101114UKE3	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2086894v1		GCA_020868945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/868/945/GCF_020868945.1_ASM2086894v1
GCF_020869045.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2865805	1987942	Escherichia phage vB_EcoP-CHD5UKE1	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2086904v1		GCA_020869045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/869/045/GCF_020869045.1_ASM2086904v1
GCF_020523055.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2866663	2866663	Escherichia phage vB_EcoP_IMEP8	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2052305v1		GCA_020523055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/523/055/GCF_020523055.1_ASM2052305v1
GCF_022808145.1	PRJNA485481	SAMN21400459	na	na	na	na	2875839	2875839	Escherichia phage MLP1	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2280814v1		GCA_022808145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/808/145/GCF_022808145.1_ASM2280814v1
GCF_020523095.1	PRJNA485481	na	na	na	na	na	2876597	2876597	Erwinia phage Fifi44	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2052309v1		GCA_020523095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/523/095/GCF_020523095.1_ASM2052309v1
GCF_020497995.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2877986	2955973	Haloarcula virus HJTV-2	na	HJTV-2/27	latest	Complete Genome	Major	Full	2022/04/27	ASM2049799v1		GCA_020497995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/497/995/GCF_020497995.1_ASM2049799v1
GCF_020498045.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2877991	2955974	Halorubrum tailed virus 10	na	HRTV-10/43	latest	Complete Genome	Major	Full	2022/04/27	ASM2049804v1		GCA_020498045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/498/045/GCF_020498045.1_ASM2049804v1
GCF_020498605.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2878006	2956102	Halorubrum tailed virus 25	na	HRTV-25/14	latest	Complete Genome	Major	Full	2022/04/27	ASM2049860v1		GCA_020498605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/498/605/GCF_020498605.1_ASM2049860v1
GCF_020498675.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2878013	2955977	Halorubrum sodomense tailed virus 4	na	HSTV-4/6	latest	Complete Genome	Major	Full	2022/04/27	ASM2049867v1		GCA_020498675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/498/675/GCF_020498675.1_ASM2049867v1
GCF_000904275.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2880537	1273739	Bacillus phage Andromeda	na	na	latest	Complete Genome	Major	Full	2013/03/12	ViralProj192872		GCA_000904275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/275/GCF_000904275.1_ViralProj192872
GCF_000912395.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2880540	1406782	Bacillus phage Blastoid	na	na	latest	Complete Genome	Major	Full	2013/12/19	ViralProj227127		GCA_000912395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/912/395/GCF_000912395.1_ViralProj227127
GCF_000905895.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2880541	1273740	Bacillus phage Curly	na	na	latest	Complete Genome	Major	Full	2013/03/12	ViralProj192873		GCA_000905895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/895/GCF_000905895.1_ViralProj192873
GCF_000905295.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2880542	1273741	Bacillus phage Eoghan	na	na	latest	Complete Genome	Major	Full	2013/03/12	ViralProj192874		GCA_000905295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/295/GCF_000905295.1_ViralProj192874
GCF_000906775.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2884419	1273742	Bacillus phage Finn	na	na	latest	Complete Genome	Major	Full	2013/03/12	ViralProj192875		GCA_000906775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/775/GCF_000906775.1_ViralProj192875
GCF_000912995.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2884421	1406784	Bacillus phage Glittering	na	na	latest	Complete Genome	Major	Full	2013/12/19	ViralProj227122		GCA_000912995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/912/995/GCF_000912995.1_ViralProj227122
GCF_000912375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2884426	1406788	Bacillus phage Riggi	na	na	latest	Complete Genome	Major	Full	2013/12/19	ViralProj227123		GCA_000912375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/912/375/GCF_000912375.1_ViralProj227123
GCF_002603085.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2884430	1273744	Bacillus phage Taylor	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM260308v1		GCA_002603085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/603/085/GCF_002603085.1_ASM260308v1
GCF_020684995.1	PRJNA485481	na	na	na	na	na	2885983	2885983	Microbacterium phage Pumpernickel	na	na	latest	Complete Genome	Major	Full	2023/04/15	ASM2068499v1		GCA_020684995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/995/GCF_020684995.1_ASM2068499v1
GCF_021356225.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2894593	2894593	Streptomyces phage Pablito	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2135622v1		GCA_021356225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/356/225/GCF_021356225.1_ASM2135622v1
GCF_000843225.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2905867	136084	Roseobacter phage SIO1	na	na	latest	Complete Genome	Major	Full	2000/09/02	ViralProj14308		GCA_000843225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/225/GCF_000843225.1_ViralProj14308
GCF_000849825.2	PRJNA485481	na	na	na	na	ICTV species exemplar	2905923	151528	Synechococcus phage P60	na	na	latest	Complete Genome	Major	Full	2015/10/19	ViralProj14628		GCA_000849825.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/825/GCF_000849825.2_ViralProj14628
GCF_021536645.1	PRJNA485481	na	na	na	na	na	2909742	2909742	Escherichia phage vB_EcoM_SA91KD	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2153664v1		GCA_021536645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/536/645/GCF_021536645.1_ASM2153664v1
GCF_021536705.1	PRJNA485481	na	na	na	na	na	2910155	2910155	Escherichia phage SKA49	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2153670v1		GCA_021536705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/536/705/GCF_021536705.1_ASM2153670v1
GCF_000873225.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2914003	438482	Synechococcus phage Syn5	na	na	latest	Complete Genome	Major	Full	2007/06/07	ViralProj19763		GCA_000873225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/873/225/GCF_000873225.1_ViralProj19763
GCF_000871085.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2914006	466051	Thermus phage P23-45	na	na	latest	Complete Genome	Major	Full	2007/09/14	ViralProj20765		GCA_000871085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/085/GCF_000871085.1_ViralProj20765
GCF_000871945.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2914007	466052	Thermus phage P74-26	na	na	latest	Complete Genome	Major	Full	2007/09/14	ViralProj20767		GCA_000871945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/945/GCF_000871945.1_ViralProj20767
GCF_022544665.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2914443	2914443	Streptomyces phage Tomas	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2254466v1		GCA_022544665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/544/665/GCF_022544665.1_ASM2254466v1
GCF_022694625.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2926475	2926475	Synechococcus phage S-SZBM1	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM2269462v1		GCA_022694625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/694/625/GCF_022694625.1_ASM2269462v1
GCF_002627065.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2928692	2733905	Alteromonas phage vB_AspP-H4/4	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM262706v1		GCA_002627065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/065/GCF_002627065.1_ASM262706v1
GCF_025960795.1	PRJNA485481	na	na	na	na	na	2961702	2961702	Escherichia phage PO103-1	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2596079v1		GCA_025960795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/960/795/GCF_025960795.1_ASM2596079v1
GCF_025630365.1	PRJNA485481	na	na	na	na	na	2968248	2968248	Xanthomonas phage vB_Xar_IVIA-DoCa3	na	na	latest	Complete Genome	Major	Full	2023/03/26	ASM2563036v1		GCA_025630365.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/630/365/GCF_025630365.1_ASM2563036v1
GCF_018987125.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2994057	2006137	Mycobacterium phage I3	na	na	latest	Complete Genome	Major	Full	2022/10/26	ASM1898712v1		GCA_018987125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/987/125/GCF_018987125.1_ASM1898712v1
GCF_026724275.1	PRJNA485481	na	na	na	na	na	2999013	2999013	Streptomyces phage Success	na	na	latest	Complete Genome	Major	Full	2023/04/15	ASM2672427v1		GCA_026724275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/724/275/GCF_026724275.1_ASM2672427v1
GCF_027574265.1	PRJNA485481	na	na	na	na	na	3003366	3003366	Escherichia phage vB_EcoM_DE15	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM2757426v1		GCA_027574265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/574/265/GCF_027574265.1_ASM2757426v1
